review,review_cleaned,cluster
"Отзывы будто из параллельной вселенной, где «шедевр» — это когда дом не рушится при первом порыве ветра. ‼️ Что касается проекта в исторической части города — да, ситуация с корпусами 2.1 и 2.2 от застройщика ПИК действительно вызывает серьёзное недоумение. Замена стеклянных ограждений на металлические решётки— не просто визуальный обвал, это прямое предательство архитектурной концепции. Стекло на рендерах создавало лёгкость, прозрачность, современный контраст с исторической застройкой — а вместо этого получили что-то напоминающее лестничную клетку в советской панельке. То же самое с отсутствующими оконными откосами— это не мелочь. Откосы не только придают фасаду завершённость, но и играют важную роль в теплоизоляции и влагозащите. Их упрощение — явный сигнал: экономят не на чём-то абстрактном, а на вещах, влияющих и на внешний вид, и на эксплуатационные характеристики. И да, ваш вопрос абсолютно закономерен: если экономят на самом видимом — что скрыто за стенами? Если фасад, который все видят, уже переделан в пользу дешёвого варианта — что творится с инженерными коммуникациями, утеплением, шумоизоляцией? Там, где контроль со стороны покупателей почти невозможен, риски резко возрастают. Такие прецеденты — тревожный звоночек для дольщиков. Особенно в историческом районе, где каждый элемент должен быть выверен. Архитектурная гармония — не прихоть, а ответственность. А её нарушение ради сэкономленных миллионов — не просто дурной тон, а подрыв доверия к застройщику в целом.",отзыв параллельный вселенная шедевр рушиться первый порыв ветер касаться исторический часть город ситуация корпус действительно вызывать серьёзный недоумение замена стеклянный ограждение металлический решётка визуальный обвал прямой предательство архитектурный концепция стекло рендёр создавать лёгкость прозрачность современный контраст исторический застройка вместо получить чтоть напоминать лестничный клетка советский панелька самый отсутствовать оконный откос мелочь откос придавать фасад завершённость играть важный роль теплоизоляция влагозащита упрощение явный сигнал экономить чёмтый абстрактный вещь влиять внешний эксплуатационный характеристика ваш вопрос абсолютно закономерный экономить видимый скрытый стена фасад видеть переделать польза дешёвый вариант твориться инженерный коммуникация утепление шумоизоляция контроль сторона покупатель невозможный риск резко возрастать прецедент тревожный звоночек дольщик особенно исторический каждый элемент должный выверить архитектурный гармония прихоть ответственность её нарушение ради сэкономить миллион дурной тон подрыв доверие,5
"Купил квартиру в ЖК «Лермонтовский 54» (корпуса 2.1–2.2). На рендерах и в рекламных материалах застройщика ПИК были заявлены панорамные окна со стеклянными ограждениями, что выглядело современно и эстетично. Но в 2025 году при строительстве застройщик заменил стеклянные ограждения на дешёвые металлические решётки. В первом корпусе (уже сданном) установлены стеклянные ограждения, а в следующих — решётки. Получается, условия для покупателей разных корпусов оказались разными. Это выглядит как удешевление проекта и ухудшение внешнего Читать далее",купить лермонтовский корпус рендёр рекламный материал заявить панорамный стеклянный ограждение выглядеть современно эстетично год строительство заменить стеклянный ограждение дешёвый металлический решётка первый корпус сдать установить стеклянный ограждение следующий решётка получаться условие покупатель разный корпус оказаться разный выглядеть удешевление ухудшение внешний,5
"Уже живем на Лермонтовском 54, сдали вовремя. Отдельная благодарность ПИКу за то, что отреставрировали лицей.",лермонтовский сдать вовремя отдельный благодарность пику отреставрировать лицей,5
"Я летом 2024 года стала счастливым обладателем двухкомнатной квартиры с тремя лоджиями на 8-м этаже от ПИК в ЖК Лермонтовский 54, корпус 2.1 - это здание - посередине трех зданий. Тем летом я и моя семья серьезно подходили к выбору покупки объекта. У нас на выбор был Лермонтовский 54 от ПИК и Клуб Империал от Сетл на Ваське. Я склонялась к объекту от Сетл, проверенному, уже есть опыт покупки у них, НО наша семья все-таки выбрала ПИК на Лермонтовском. Мы специально выбрали 8 этаж, так как значение имели окна в пол и лоджии - СТЕКЛЯННЫЕ, выходившие из каждой комнаты, так называемые мини-балкончики, ну и конечно же красивый облик - рендер объекта на официальном сайте ПИК, и местоположение в целом. Именно эта квартира нам понравилась на 8-м этаже и была естественно дороже, чем похожие квартиры без лоджий на более низких этажах. Я три недели почти каждый день разговаривала с менеджерами ПИК по телефону о всех характеристиках моей квартиры. Меня убеждали, что будут такие же красивые лоджии , как на рендерах. Я спросила, почему это все не указано в договоре, на что мне ответили, что договор типовой, внесение правок в договор - невозможно, в частности прописать все нюансы тех же лоджий. Я поверила всему, ПИК мне казался надежным застройщиком, и подписала договор ДДУ, оплатила за квартиру. Недавно - в августе 2025 года я узнала, что у меня в квартире на трех лоджиях будут решетки вместо красивого стеклянного ограждения. Решетки по цвету не совпадают с оконными рамами, на вид - очень безобразно выглядят. На мое обращение в ПИК получила ответ, что это - балюстрады, но на самом деле всего лишь простой забор металлического цвета. Каким образом ПИК удалось заменить стеклянное ограждение на забор - решетку металлического цвета и согласовать все это - не ясно. Мне как дольщику - очень не приятно. Это совсем не выглядит как проект ПИК+, это настоящий ПИК минус. Надо было выбрать квартиру год назад в ЖК Империал Клуб. Новых дольщиков, покупателей прошу внимательно подойти к прочтению договора перед подписанием и тем более перечислением денег. Для меня это стало уроком и я больше никогда не буду связываться с застройщиком ПИК, учитывая ситуацию с ЖК Лермонтовский 54, корпус 2.1.",лето год стать счастливый обладатель двухкомнатный лоджия м этаж лермонтовский корпус здание посередине здание лето семья серьёзно подходить выбор покупка объект выбор лермонтовский клуб империал сетлый васька склоняться объект сетлый проверить опыт покупка наш семья всетаки выбрать лермонтовский специально выбрать этаж значение иметь пол лоджия стеклянный выходить каждый комната называть минибалкончик красивый облик рендёр объект официальный сайт местоположение именно понравиться м этаж естественно дорогой похожий лоджия низкий этаж неделя каждый день разговаривать менеджер телефон характеристика убеждать красивый лоджия рендёр спросить почему указать договор ответить договор типовой внесение правка договор невозможно частность прописать нюанс лоджия поверить весь казаться надёжный подписать договор дду оплатить недавно август год узнать лоджия решётка вместо красивый стеклянный ограждение решётка цвет совпадать оконный рама безобразно выглядеть обращение получить ответ балюстрада дело лишь простой забор металлический цвет образ удаться заменить стеклянный ограждение забор решётка металлический цвет согласовать ясно дольщик приятно выглядеть настоящий минус выбрать год назад империал клуб новый дольщик покупатель просить внимательно подойти прочтение договор подписание перечисление деньга стать урок связываться учитывать ситуация лермонтовский корпус,5
"Купил квартиру в корпусе 1.1, все идеально, вопросов вообще нет. Крутые окна в пол, балконные ограждения со стекла, смотрится огонь! Но, каждый раз когда выхожу на один из своих трех балконов, вижу корпус 2.1, где вместо балконов со стеклом, стоят убогие решетки. Их изначально не было в проекте, у всех корпусов ограждения должны были быть со стекла. Очень неприятно выходить и видеть эту боль соседей, прежде чем покупать квартиру в корпусе 2.1 и 2.2 подумайте дважды, так как напротив буду стоять я, с недовольным лицом",купить корпус идеально вопрос вообще крутой пол балконный ограждение стекло смотреться огонь каждый выходить свой балкон видеть корпус вместо балкон стекло стоять убогий решётка изначально корпус ограждение должный стекло неприятно выходить видеть боль сосед прежде покупать корпус подумать дважды напротив стоять недовольный лицо,5
"Мы, как семья, принимали решение о покупке квартиры в ЖК «Лермонтовский 54» от компании ПИК, надеясь приобрести жильё бизнес-класса, которое оправдает вложенные средства и ожидания. Улучшения фасадов, панорамные окна, стеклянные ограждения балконов всё это создаёт впечатление современного, лёгкого и продуманного архитектурного решения . Особенно нас подкупила информация о том, что проект получил федеральную премию **URBAN‑2024 в номинации «Премьера года: квартал бизнес‑класса в центре Петербурга со школой в здании XIX века»** . Это внушало уверенность, что комплекс реализован на высоком профессиональном и эстетическом уровне. Однако реальность оказалась совсем иной принятые строителями «упрощения» вызывают разочарование и ощущение подмены заявленного качества на стандартный, более бюджетный ЖК: эконом+ Значительное упрощение оконных откосов и отказ от защитного стекла вместо прозрачного детали, которые воспринимаются не как мелочь, а как снижение стандарта безопасности и визуальной лёгкости. Установка металлических решётчатых ограждений высотой около 1,2 м вместо оригинальных стеклянных создает эффект «забора». Такое решение противоречит заявленному образу современного, лёгкого фасада и портит восприятие всего комплекса. В итоге ЖК «Лермонтовский 54» от ПИК, несмотря на свои амбиции и престижные премии, по факту приближается к уровню обычного эконом-класса, и это ощущение только усиливается. Мы выбирали жильё всей семьей, рассчитывая на заявленный уровень качества и эстетики. Вместо этого ощущение, что застройщик «втихую» изменил важные элементы дизайна, подвинув нас от ожиданий бизнес-класса. Это вызывает глубокое разочарование и чувство обмана от ПИК. Откосы окон, изначально заявленные как аккуратные и декоративные, выполнены в виде металлической обшивки, что визуально удешевляет весь фасад. В совокупности это не выглядит как «бизнес-класс». Скорее, создаётся впечатление перехода проекта из уровня «ПИК+ » к обычному ЖК эконом-класса.",семья принимать решение покупка лермонтовский компания надеяться приобрести жильё бизнескласс оправдать вложить средство ожидание улучшение фасад панорамный стеклянный ограждение балкон создавать впечатление современный лёгкий продумать архитектурный решение особенно подкупить информация получить федеральный премия номинация премьера год квартал бизнескласс центр петербург школа здание век внушать уверенность реализовать высокий профессиональный эстетический уровень однако реальность оказаться иной принять строитель упрощение вызывать разочарование ощущение подмена заявить качество стандартный бюджетный эконом значительный упрощение оконный откос отказ защитный стекло вместо прозрачный деталь восприниматься мелочь снижение стандарт безопасность визуальный лёгкость установка металлический решётчатый ограждение высота около м вместо оригинальный стеклянный создавать эффект забор решение противоречить заявить образ современный лёгкий фасад портить восприятие итог лермонтовский несмотря свой амбиция престижный премия факт приближаться уровень обычный экономкласс ощущение усиливаться выбирать жильё весь семья рассчитывать заявить уровень качество эстетика вместо ощущение втихую изменить важный элемент дизайн подвинуть ожидание бизнескласс вызывать глубокий разочарование чувство обман откос окно изначально заявить аккуратный декоративный выполнить металлический обшивка визуально удешевлять весь фасад совокупность выглядеть бизнескласс скорее создаваться впечатление переход уровень обычный экономкласс,5
"При строительстве корпусов 2.1 и 2.2 в историческом районе города компания ПИК проявила недобросовестный подход к выполнению проектных обязательств, пошедшая на существенные уступки ради снижения затрат. Проект претерпел значительные изменения: вместо заявленных в документации и рендерах стеклянных ограждений застройщик установил металлические конструкции. Эти изменения не только разрушили задуманную архитектурную гармонию комплекса, но и создали явный диссонанс с обликом первой очереди строительства. Ситуация усугубилась Читать далее",строительство корпус исторический город компания проявить недобросовестный подход выполнение проектный обязательство пойти существенный уступка ради снижение затрата претерпеть значительный изменение вместо заявить документация рендёр стеклянный ограждение установить металлический конструкция изменение разрушить задумать архитектурный гармония создать явный диссонанс облик первый очередь ситуация усугубиться,5
"Все-таки выбрали в пользу новостройки на Лермонтовском,а не вторички. Хотя посматривали на старый фонд. Но учитывая как за ним следят,безопаснее жить в том же ПИК. Не говоря уже про свой закрытый двор",всетаки выбрать польза новостройка лермонтовском вторичка хотя посматривать старый фонд учитывать следятбезопасный говорить свой закрытый двор,3
"В очередной раз решила довериться застройщику ПИК и 30.06.2025 приобрела студию в корпусе 2.1 БЕЗ отделки, посчитав что тем самым сниму риски моих обманутых ожиданий (был печальный опыт с ПИк по квартире с готовой отделкой но это отдельная история). Но креативный ПИК умеет удивлять, не прошло и месяца моего спокойного сна, как с 31 июля начались чудесные оптимизации затрат застройщика в ущерб дольщикам, в частности вместо триплекса на окнах строящегося корпуса появились могильные ограждения, которые в один момент превратили дом бизнес- класса в хрущевку. Вначале я подумала, что я невнимательная и не досмотрела документацию/описание. Но нет, официальная версия проекта в рекламных целях и общедоступная проектная документация до сих пор обещает воздушные балконы из триплекса. Никто из дольщиков не ознакомлен с изменениями в проектную документацию. Легализованы ли правки или нет до сих пор неясно. Застройщик объясняет, что все изменения нам во благо, и оказывается это не могильные оградки, а стильные балюстрады. Уважаемый ПИК, сколько можно обманывать своих дольщиков? Какое обоснование экономии на проекте в этот раз, когда он продан по РЫНОЧНЫМ ценам? Какие еще экономии вы планируете? На фотографиях обещание и реальность.",очередной решить довериться приобрести студия корпус отделка посчитать самый снять риск обмануть ожидание печальный опыт готовый отделка отдельный история креативный уметь удивлять пройти месяц спокойный сон июль начаться чудесный оптимизация затрата ущерб дольщик частность вместо триплекс окно строиться корпус появиться могильный ограждение момент превратить бизнес класс хрущёвка вначале подумать невнимательный досмотреть документациюописание официальный версия рекламный цель общедоступный проектный документация сей пора обещать воздушный балкон триплекс никто дольщик ознакомить изменение проектный документация легализовать правка сей пора неясно объяснять изменение благо оказываться могильный оградка стильный балюстрада уважаемый сколько обманывать свой дольщик обоснование экономия продать рыночный цена экономия планировать фотография обещание реальность,5
"Хорошее местечко нашел ПИК. ЖК аккурат за провиантскими складами на набережной Обводного. Ждем заселения, вроде все своим чередом идет, скоро получим ключи.",местечко найти аккурат провиантский склад набережная обводный ждать заселение вроде свой черёд идти скоро получить ключ,5
"Смущают удешевления которые приминил застройщик в отношении фасадов на последних корпусах. Это то что мы видим снаружи, боюсь представить что творится внутри. ",смущать удешевление приминил отношение фасад последний корпус видеть снаружи бояться представить твориться внутри,0
"Покупая квартиру здесь показывают сданный дом в 1 корпусе. По факту начали ставить решетки на панорамные окна и делать откосы из листовой стали! Это грубое нарушение проектной декларации. Предлагаю всем купившим квартиру в данном ЖК НЕ ПРИНИМАТЬ И НЕ РАСПИСЫВАТЬСЯ В АКТАХ ПРИЕМА-ПЕРЕДАЧИ, при получении ключей. Нам всем обещали панорамный вид со стеклянной воздушной перегородкой и клинкер на фасаде с подсветкой а по факту начали лепить примитивные решетки на окна и жестянку на откосы!!! ЗАСТРОЙЩИК ПИК вы в своем вообще уме?! Вам не один собственник нормально не подпишут акты передачи. Всем купившим здесь квартиру совет, вызывать ребят из строительной экспертизы для приёмки и подписания актов например Сити-проф или еще кого то юридически подкованных.",покупать показывать сдать корпус факт начать ставить решётка панорамный делать откос листовой стать грубый нарушение проектный декларация предлагать весь купить данный принимать расписываться акт приемапередача получение ключ весь обещать панорамный стеклянный воздушный перегородка клинкер фасад подсветка факт начать лепить примитивный решётка жестянка откос свой вообще ум собственник нормально подписать акт передача весь купить совет вызывать ребята строительный экспертиза приёмка подписание акт например ситипроф юридически подковать,5
"Купил здесь квартиру в корпусе 2.2. Сначала был очень доволен выбором, но наблюдая за стройкой ПИК начал удешевлять стройку упрощая фасады (решетки на балконах вместо стекляных ограждений, отделка камнем в месте стыка с окнами заменена на железные откосы), разочарование полное. На рендерах застройщик презентует все красиво, а по факту самовольно меняет внешний вид зданий. Очень надеюсь на то что ПИК отменит изменения и будет уважать права дольшиков.",купить корпус сначала довольный выбор наблюдать стройка начать удешевлять стройка упрощать фасад решётка балкон вместо стекляный ограждение отделка камень стык окно заменить железный откос разочарование полный рендёр презентовать красиво факт самовольно менять внешний здание надеяться отменить изменение уважать право дольшик,5
"Сравнивая с 1-ым корпусом, то не самый приятный downgrade, решения по откосам и ограждениям балконов портят весь вид ЖК м самое главное это просто произошло, жильцов данных корпусов искренне жаль, что помимо задержки сдачи дома на 1 квартал они получают ""колхозное"" решения главной фишки данного ЖК, панорамные окна и французские балконы. ",сравнивать ым корпус самый приятный решение откос ограждение балкон портить весь м самый главное произойти жилец данные корпус искренне жаль помимо задержка сдача квартал получать колхозный решение главный фишка данный панорамный французский балкон,5
"Приобрели квартиру в корпусе 2.2 данного ЖК. Застройщик купил прекрасным проектом бизнес-класса в исторической части Санкт-Петербурга. Было заявлено, что корпус 2.2 будет идентичен уже сданному корпусу 1, в документации это также подтверждалось. По факту на текущем этапе строительства видим, что застройщик в одностороннем порядке изменил следующие моменты: 1. Стеклянные балконы заменил за металическую ограду 2. Откосы у около и балконов, которые по проекту были из клинкерного кирпича, стали просто железными. Данные изменения снижают стоимость жилья, общую эстетику. ЖК приобрел колхозный вид. Просим ПИК одуматься, пока не поздно, иначе будут направлены жалобы в соответсвующие органы.",приобрести корпус данный купить прекрасный бизнескласс исторический часть санктпетербург заявить корпус идентичный сдать корпус документация также подтверждаться факт текущий этап видеть односторонний порядок изменить следующий момент стеклянный балкон заменить металическовать ограда откос около балкон клинкерный кирпич стать железный дать изменение снижать стоимость жильё общий эстетика приобрести колхозный просить одуматься поздно иначе направить жалоба соответсвовать орган,5
